correctedValue,originalValue,answerCode
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
American,AMERICAN,estilo_barrera
