correctedValue,originalValue,answerCode
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buys,sells,estrategia
sells,buys,estrategia
