correctedValue,originalValue,answerCode
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
623,"623,",strike_
3.4685,"3,4685",strike_
0.7050,.7050,strike_
