correctedValue,originalValue,answerCode
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
Forward KO,KO,tipo_de_opcion
