correctedValue,originalValue,answerCode
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
sells,buys,estrategia
buy,BOTM SELLS,estrategia
sells,buys,estrategia
buy,BOTM SELLS,estrategia
sells,buys,estrategia
buy,BOTM SELLS,estrategia
sells,buys,estrategia
buy,BOTM SELLS,estrategia
sells,buys,estrategia
buy,BOTM SELLS,estrategia
Compra,Vende,estrategia
Venta,Compra,estrategia
sells,buys,estrategia
buy,BOTM SELLS,estrategia
Compra,Vende,estrategia
Venta,Compra,estrategia
sells,buys,estrategia
buy,BOTM SELLS,estrategia
Compra,Vende,estrategia
Venta,Compra,estrategia
sells,buys,estrategia
buy,BOTM SELLS,estrategia
Compra,Vende,estrategia
Venta,Compra,estrategia
sells,buys,estrategia
buy,BOTM SELLS,estrategia
Compra,Vende,estrategia
Venta,Compra,estrategia
sells,buys,estrategia
buy,BOTM SELLS,estrategia
Compra,Vende,estrategia
Venta,Compra,estrategia
sells,buys,estrategia
buy,BOTM SELLS,estrategia
Compra,Vende,estrategia
Venta,Compra,estrategia
sells,buys,estrategia
buy,BOTM SELLS,estrategia
Compra,Vende,estrategia
Venta,Compra,estrategia
sells,buys,estrategia
buy,BOTM SELLS,estrategia
Compra,Vende,estrategia
Venta,Compra,estrategia
sells,buys,estrategia
buy,BOTM SELLS,estrategia
Compra,Vende,estrategia
Venta,Compra,estrategia
sells,buys,estrategia
buy,BOTM SELLS,estrategia
Compra,Vende,estrategia
Venta,Compra,estrategia
sells,buys,estrategia
buy,BOTM SELLS,estrategia
Compra,Vende,estrategia
Venta,Compra,estrategia
sells,buys,estrategia
buy,BOTM SELLS,estrategia
Compra,Vende,estrategia
Venta,Compra,estrategia
sells,buys,estrategia
buy,BOTM SELLS,estrategia
Compra,Vende,estrategia
Venta,Compra,estrategia
sells,buys,estrategia
buy,BOTM SELLS,estrategia
Compra,Vende,estrategia
Venta,Compra,estrategia
sells,buys,estrategia
