correctedValue,originalValue,answerCode
01/04/2018,2018-01-04,fecha_inicio
01/04/2018,2018-01-04,fecha_inicio
12/11/2017,11-Dec-2017,fecha_inicio
01/04/2018,2018-01-04,fecha_inicio
12/11/2017,11-Dec-2017,fecha_inicio
01/04/2018,2018-01-04,fecha_inicio
12/11/2017,11-Dec-2017,fecha_inicio
12/21/2017,21-Dec-2017,fecha_inicio
01/04/2018,2018-01-04,fecha_inicio
12/11/2017,11-Dec-2017,fecha_inicio
12/21/2017,21-Dec-2017,fecha_inicio
01/31/2018,31Jan2018,fecha_inicio
01/04/2018,2018-01-04,fecha_inicio
12/11/2017,11-Dec-2017,fecha_inicio
12/21/2017,21-Dec-2017,fecha_inicio
01/31/2018,31Jan2018,fecha_inicio
12/27/2017,27-Dec-2017,fecha_inicio
01/04/2018,2018-01-04,fecha_inicio
12/11/2017,11-Dec-2017,fecha_inicio
12/21/2017,21-Dec-2017,fecha_inicio
01/31/2018,31Jan2018,fecha_inicio
12/27/2017,27-Dec-2017,fecha_inicio
01/24/2018,24-Jan-2018,fecha_inicio
01/04/2018,2018-01-04,fecha_inicio
12/11/2017,11-Dec-2017,fecha_inicio
12/21/2017,21-Dec-2017,fecha_inicio
01/31/2018,31Jan2018,fecha_inicio
12/27/2017,27-Dec-2017,fecha_inicio
01/24/2018,24-Jan-2018,fecha_inicio
12/05/2017,05-Dec-2017,fecha_inicio
01/04/2018,2018-01-04,fecha_inicio
12/11/2017,11-Dec-2017,fecha_inicio
12/21/2017,21-Dec-2017,fecha_inicio
01/31/2018,31Jan2018,fecha_inicio
12/27/2017,27-Dec-2017,fecha_inicio
01/24/2018,24-Jan-2018,fecha_inicio
12/05/2017,05-Dec-2017,fecha_inicio
01/04/2018,2018-01-04,fecha_inicio
12/11/2017,11-Dec-2017,fecha_inicio
12/21/2017,21-Dec-2017,fecha_inicio
01/31/2018,31Jan2018,fecha_inicio
12/27/2017,27-Dec-2017,fecha_inicio
01/24/2018,24-Jan-2018,fecha_inicio
12/05/2017,05-Dec-2017,fecha_inicio
07/06/2017,06 Jul 2017,fecha_inicio
01/04/2018,2018-01-04,fecha_inicio
12/11/2017,11-Dec-2017,fecha_inicio
12/21/2017,21-Dec-2017,fecha_inicio
01/31/2018,31Jan2018,fecha_inicio
12/27/2017,27-Dec-2017,fecha_inicio
01/24/2018,24-Jan-2018,fecha_inicio
12/05/2017,05-Dec-2017,fecha_inicio
07/06/2017,06 Jul 2017,fecha_inicio
01/04/2018,2018-01-04,fecha_inicio
12/11/2017,11-Dec-2017,fecha_inicio
12/21/2017,21-Dec-2017,fecha_inicio
01/31/2018,31Jan2018,fecha_inicio
12/27/2017,27-Dec-2017,fecha_inicio
01/24/2018,24-Jan-2018,fecha_inicio
12/05/2017,05-Dec-2017,fecha_inicio
07/06/2017,06 Jul 2017,fecha_inicio
07/13/2017,13 Jul 2017,fecha_inicio
01/04/2018,2018-01-04,fecha_inicio
12/11/2017,11-Dec-2017,fecha_inicio
12/21/2017,21-Dec-2017,fecha_inicio
01/31/2018,31Jan2018,fecha_inicio
12/27/2017,27-Dec-2017,fecha_inicio
01/24/2018,24-Jan-2018,fecha_inicio
12/05/2017,05-Dec-2017,fecha_inicio
07/06/2017,06 Jul 2017,fecha_inicio
07/13/2017,13 Jul 2017,fecha_inicio
07/19/2017,2017-07-19,fecha_inicio
01/04/2018,2018-01-04,fecha_inicio
12/11/2017,11-Dec-2017,fecha_inicio
12/21/2017,21-Dec-2017,fecha_inicio
01/31/2018,31Jan2018,fecha_inicio
12/27/2017,27-Dec-2017,fecha_inicio
01/24/2018,24-Jan-2018,fecha_inicio
12/05/2017,05-Dec-2017,fecha_inicio
07/06/2017,06 Jul 2017,fecha_inicio
07/13/2017,13 Jul 2017,fecha_inicio
07/19/2017,2017-07-19,fecha_inicio
07/24/2017,24 Jul 2017,fecha_inicio
