correctedValue,originalValue,answerCode
07/09/2018,09 Jul 2018,fecha_pago_vencimiento
07/09/2018,09 Jul 2018,fecha_pago_vencimiento
07/09/2018,09 Jul 2018,fecha_pago_vencimiento
07/09/2018,09 Jul 2018,fecha_pago_vencimiento
12/13/2018,13-Dec-2018,fecha_pago_vencimiento
07/09/2018,09 Jul 2018,fecha_pago_vencimiento
07/09/2018,09 Jul 2018,fecha_pago_vencimiento
12/13/2018,13-Dec-2018,fecha_pago_vencimiento
07/18/2019,18 Jul 19,fecha_pago_vencimiento
07/09/2018,09 Jul 2018,fecha_pago_vencimiento
07/09/2018,09 Jul 2018,fecha_pago_vencimiento
12/13/2018,13-Dec-2018,fecha_pago_vencimiento
07/18/2019,18 Jul 19,fecha_pago_vencimiento
12/27/2017,27 Dec 2017,fecha_pago_vencimiento
07/09/2018,09 Jul 2018,fecha_pago_vencimiento
07/09/2018,09 Jul 2018,fecha_pago_vencimiento
12/13/2018,13-Dec-2018,fecha_pago_vencimiento
07/18/2019,18 Jul 19,fecha_pago_vencimiento
12/27/2017,27 Dec 2017,fecha_pago_vencimiento
02/05/2018,05Feb2018,fecha_pago_vencimiento
07/09/2018,09 Jul 2018,fecha_pago_vencimiento
07/09/2018,09 Jul 2018,fecha_pago_vencimiento
12/13/2018,13-Dec-2018,fecha_pago_vencimiento
07/18/2019,18 Jul 19,fecha_pago_vencimiento
12/27/2017,27 Dec 2017,fecha_pago_vencimiento
02/05/2018,05Feb2018,fecha_pago_vencimiento
01/08/2018,08 Jan 2018,fecha_pago_vencimiento
07/09/2018,09 Jul 2018,fecha_pago_vencimiento
07/09/2018,09 Jul 2018,fecha_pago_vencimiento
12/13/2018,13-Dec-2018,fecha_pago_vencimiento
07/18/2019,18 Jul 19,fecha_pago_vencimiento
12/27/2017,27 Dec 2017,fecha_pago_vencimiento
02/05/2018,05Feb2018,fecha_pago_vencimiento
01/08/2018,08 Jan 2018,fecha_pago_vencimiento
07/26/2018,26 Jul 2018,fecha_pago_vencimiento
07/26/2018,26 Jul 2018,fecha_pago_vencimiento
07/09/2018,09 Jul 2018,fecha_pago_vencimiento
07/09/2018,09 Jul 2018,fecha_pago_vencimiento
12/13/2018,13-Dec-2018,fecha_pago_vencimiento
07/18/2019,18 Jul 19,fecha_pago_vencimiento
12/27/2017,27 Dec 2017,fecha_pago_vencimiento
02/05/2018,05Feb2018,fecha_pago_vencimiento
01/08/2018,08 Jan 2018,fecha_pago_vencimiento
07/26/2018,26 Jul 2018,fecha_pago_vencimiento
07/26/2018,26 Jul 2018,fecha_pago_vencimiento
12/13/2017,13 Dec 2017,fecha_pago_vencimiento
07/09/2018,09 Jul 2018,fecha_pago_vencimiento
07/09/2018,09 Jul 2018,fecha_pago_vencimiento
12/13/2018,13-Dec-2018,fecha_pago_vencimiento
07/18/2019,18 Jul 19,fecha_pago_vencimiento
12/27/2017,27 Dec 2017,fecha_pago_vencimiento
02/05/2018,05Feb2018,fecha_pago_vencimiento
01/08/2018,08 Jan 2018,fecha_pago_vencimiento
07/26/2018,26 Jul 2018,fecha_pago_vencimiento
