correctedValue,originalValue,answerCode
07/05/2018,05 Jul 2018,fecha_vencimiento
07/05/2018,05 Jul 2018,fecha_vencimiento
07/05/2018,05 Jul 2018,fecha_vencimiento
07/05/2018,05 Jul 2018,fecha_vencimiento
12/11/2018,11-Dec-2018,fecha_vencimiento
07/05/2018,05 Jul 2018,fecha_vencimiento
07/05/2018,05 Jul 2018,fecha_vencimiento
12/11/2018,11-Dec-2018,fecha_vencimiento
07/16/2019,16 Jul 19,fecha_vencimiento
07/05/2018,05 Jul 2018,fecha_vencimiento
07/05/2018,05 Jul 2018,fecha_vencimiento
12/11/2018,11-Dec-2018,fecha_vencimiento
07/16/2019,16 Jul 19,fecha_vencimiento
12/22/2017,22 Dec 2017,fecha_vencimiento
07/05/2018,05 Jul 2018,fecha_vencimiento
07/05/2018,05 Jul 2018,fecha_vencimiento
12/11/2018,11-Dec-2018,fecha_vencimiento
07/16/2019,16 Jul 19,fecha_vencimiento
12/22/2017,22 Dec 2017,fecha_vencimiento
02/01/2018,01Feb2018,fecha_vencimiento
07/05/2018,05 Jul 2018,fecha_vencimiento
07/05/2018,05 Jul 2018,fecha_vencimiento
12/11/2018,11-Dec-2018,fecha_vencimiento
07/16/2019,16 Jul 19,fecha_vencimiento
12/22/2017,22 Dec 2017,fecha_vencimiento
02/01/2018,01Feb2018,fecha_vencimiento
01/04/2018,04 Jan 2018,fecha_vencimiento
07/05/2018,05 Jul 2018,fecha_vencimiento
07/05/2018,05 Jul 2018,fecha_vencimiento
12/11/2018,11-Dec-2018,fecha_vencimiento
07/16/2019,16 Jul 19,fecha_vencimiento
12/22/2017,22 Dec 2017,fecha_vencimiento
02/01/2018,01Feb2018,fecha_vencimiento
01/04/2018,04 Jan 2018,fecha_vencimiento
07/24/2018,24 Jul 2018,fecha_vencimiento
07/24/2018,24 Jul 2018,fecha_vencimiento
07/05/2018,05 Jul 2018,fecha_vencimiento
07/05/2018,05 Jul 2018,fecha_vencimiento
12/11/2018,11-Dec-2018,fecha_vencimiento
07/16/2019,16 Jul 19,fecha_vencimiento
12/22/2017,22 Dec 2017,fecha_vencimiento
02/01/2018,01Feb2018,fecha_vencimiento
01/04/2018,04 Jan 2018,fecha_vencimiento
07/24/2018,24 Jul 2018,fecha_vencimiento
07/24/2018,24 Jul 2018,fecha_vencimiento
12/11/2017,11 Dec 2017,fecha_vencimiento
07/05/2018,05 Jul 2018,fecha_vencimiento
07/05/2018,05 Jul 2018,fecha_vencimiento
12/11/2018,11-Dec-2018,fecha_vencimiento
07/16/2019,16 Jul 19,fecha_vencimiento
12/22/2017,22 Dec 2017,fecha_vencimiento
02/01/2018,01Feb2018,fecha_vencimiento
01/04/2018,04 Jan 2018,fecha_vencimiento
07/24/2018,24 Jul 2018,fecha_vencimiento
07/24/2018,24 Jul 2018,fecha_vencimiento
12/11/2017,11 Dec 2017,fecha_vencimiento
12/22/2017,22-27 Dec 2017,fecha_vencimiento
07/05/2018,05 Jul 2018,fecha_vencimiento
07/05/2018,05 Jul 2018,fecha_vencimiento
12/11/2018,11-Dec-2018,fecha_vencimiento
07/16/2019,16 Jul 19,fecha_vencimiento
12/22/2017,22 Dec 2017,fecha_vencimiento
02/01/2018,01Feb2018,fecha_vencimiento
