correctedValue,originalValue,answerCode
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
