correctedValue,originalValue,answerCode
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
1030338960INFX0000000000000000003094104081,1030338960 UTI TradeID: INFX0000000000000000003094104081,uti_usi
1030338960INFX0000000000000000003094104051,1030338960 UTI TradeID: INFX0000000000000000003094104051,uti_usi
