correctedValue,originalValue,answerCode
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
01/12/2018,12-Jan-2018,barrier_start_date
