correctedValue,originalValue,answerCode
USD,usd,divisa1
USD,usd,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
USD,usd,divisa1
EUR,Eur,divisa1
