correctedValue,originalValue,answerCode
0.0006950,% of USD 0.6950%,precio
0.0006950,% of USD 0.6950%,precio
0.1725,USD per1 EUR 17.25,precio
0.0006950,% of USD 0.6950%,precio
0.1725,USD per1 EUR 17.25,precio
0.15300,USD per1 EUR 153.00,precio
0.0006950,% of USD 0.6950%,precio
0.1725,USD per1 EUR 17.25,precio
0.15300,USD per1 EUR 153.00,precio
0.6075,60.75 USD,precio
0.0006950,% of USD 0.6950%,precio
0.1725,USD per1 EUR 17.25,precio
0.15300,USD per1 EUR 153.00,precio
0.6075,60.75 USD,precio
0.3375,USD per1 EUR 33.75,precio
0.0006950,% of USD 0.6950%,precio
0.1725,USD per1 EUR 17.25,precio
0.15300,USD per1 EUR 153.00,precio
0.6075,60.75 USD,precio
0.3375,USD per1 EUR 33.75,precio
0.0006950,% of USD 0.6950%,precio
0.1725,USD per1 EUR 17.25,precio
0.15300,USD per1 EUR 153.00,precio
0.6075,60.75 USD,precio
0.3375,USD per1 EUR 33.75,precio
0.2100,USD per1 EUR (21.00),precio
0.0006950,% of USD 0.6950%,precio
0.1725,USD per1 EUR 17.25,precio
0.15300,USD per1 EUR 153.00,precio
0.6075,60.75 USD,precio
0.3375,USD per1 EUR 33.75,precio
0.2100,USD per1 EUR (21.00),precio
0.0006950,% of USD 0.6950%,precio
0.1725,USD per1 EUR 17.25,precio
0.15300,USD per1 EUR 153.00,precio
0.6075,60.75 USD,precio
0.3375,USD per1 EUR 33.75,precio
0.2100,USD per1 EUR (21.00),precio
0.0006950,% of USD 0.6950%,precio
0.1725,USD per1 EUR 17.25,precio
0.15300,USD per1 EUR 153.00,precio
0.6075,60.75 USD,precio
0.3375,USD per1 EUR 33.75,precio
0.2100,USD per1 EUR (21.00),precio
0.285,28.5 USD,precio
0.0006950,% of USD 0.6950%,precio
0.1725,USD per1 EUR 17.25,precio
0.15300,USD per1 EUR 153.00,precio
0.6075,60.75 USD,precio
0.3375,USD per1 EUR 33.75,precio
0.2100,USD per1 EUR (21.00),precio
0.285,28.5 USD,precio
0.024775,% of USD (2.4775%),precio
0.041125,% of USD 4.1125%,precio
0.0006950,% of USD 0.6950%,precio
