correctedValue,originalValue,answerCode
VOLVOPERSONVAGNAR AB,RZTAL UPTOPEXAAFVT NK,contrapartida
VOLVOPERSONVAGNAR AB,RZTAL UPTOPEXAAFVT NK,contrapartida
VOLVOPERSONVAGNAR AB,RZTAL UPTOPEXAAFVT NK,contrapartida
VOLVOPERSONVAGNAR AB,RZTAL UPTOPEXAAFVT NK,contrapartida
VOLVOPERSONVAGNAR AB,OSUBH BUKRGXAUPAEY UO,contrapartida
VOLVOPERSONVAGNAR AB,RZTAL UPTOPEXAAFVT NK,contrapartida
VOLVOPERSONVAGNAR AB,OSUBH BUKRGXAUPAEY UO,contrapartida
VOLVOPERSONVAGNAR AB,WORDB FDKMNQQCDUCW OF,contrapartida
VOLVOPERSONVAGNAR AB,RZTAL UPTOPEXAAFVT NK,contrapartida
VOLVOPERSONVAGNAR AB,OSUBH BUKRGXAUPAEY UO,contrapartida
VOLVOPERSONVAGNAR AB,WORDB FDKMNQQCDUCW OF,contrapartida
VOLVOPERSONVAGNAR AB,RZTAL UPTOPEXAAFVT NK,contrapartida
VOLVOPERSONVAGNAR AB,OSUBH BUKRGXAUPAEY UO,contrapartida
VOLVOPERSONVAGNAR AB,WORDB FDKMNQQCDUCW OF,contrapartida
VOLVOPERSONVAGNAR AB,RZTAL UPTOPEXAAFVT NK,contrapartida
VOLVOPERSONVAGNAR AB,OSUBH BUKRGXAUPAEY UO,contrapartida
VOLVOPERSONVAGNAR AB,WORDB FDKMNQQCDUCW OF,contrapartida
VOLVOPERSONVAGNAR AB,RZTAL UPTOPEXAAFVT NK,contrapartida
VOLVOPERSONVAGNAR AB,OSUBH BUKRGXAUPAEY UO,contrapartida
VOLVOPERSONVAGNAR AB,WORDB FDKMNQQCDUCW OF,contrapartida
VOLVOPERSONVAGNAR AB,RZTAL UPTOPEXAAFVT NK,contrapartida
VOLVOPERSONVAGNAR AB,OSUBH BUKRGXAUPAEY UO,contrapartida
VOLVOPERSONVAGNAR AB,WORDB FDKMNQQCDUCW OF,contrapartida
VOLVOPERSONVAGNAR AB,RZTAL UPTOPEXAAFVT NK,contrapartida
VOLVOPERSONVAGNAR AB,OSUBH BUKRGXAUPAEY UO,contrapartida
VOLVOPERSONVAGNAR AB,WORDB FDKMNQQCDUCW OF,contrapartida
VOLVOPERSONVAGNAR AB,RZTAL UPTOPEXAAFVT NK,contrapartida
VOLVOPERSONVAGNAR AB,OSUBH BUKRGXAUPAEY UO,contrapartida
VOLVOPERSONVAGNAR AB,WORDB FDKMNQQCDUCW OF,contrapartida
VOLVOPERSONVAGNAR AB,RZTAL UPTOPEXAAFVT NK,contrapartida
VOLVOPERSONVAGNAR AB,OSUBH BUKRGXAUPAEY UO,contrapartida
VOLVOPERSONVAGNAR AB,WORDB FDKMNQQCDUCW OF,contrapartida
VOLVOPERSONVAGNAR AB,RZTAL UPTOPEXAAFVT NK,contrapartida
VOLVOPERSONVAGNAR AB,OSUBH BUKRGXAUPAEY UO,contrapartida
VOLVOPERSONVAGNAR AB,WORDB FDKMNQQCDUCW OF,contrapartida
