correctedValue,originalValue,answerCode
0.1425,14.25 USD points per EUR,precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1675,USD per1 EUR 16.75,precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1675,USD per1 EUR 16.75,precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1675,USD per1 EUR 16.75,precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1675,USD per1 EUR 16.75,precio
0.575,5.75,precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1675,USD per1 EUR 16.75,precio
0.575,5.75,precio
0.16,16.00,precio
0.2150,21.50,precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1675,USD per1 EUR 16.75,precio
0.575,5.75,precio
0.16,16.00,precio
0.2150,21.50,precio
3.1850,USD per1 EUR 318.50,precio
2.9475,USD per1 EUR 294.75,precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1675,USD per1 EUR 16.75,precio
0.575,5.75,precio
0.16,16.00,precio
0.2150,21.50,precio
3.1850,USD per1 EUR 318.50,precio
2.9475,USD per1 EUR 294.75,precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1675,USD per1 EUR 16.75,precio
0.575,5.75,precio
0.16,16.00,precio
0.2150,21.50,precio
3.1850,USD per1 EUR 318.50,precio
2.9475,USD per1 EUR 294.75,precio
0.0575,USD per1 GBP (5.75),precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1675,USD per1 EUR 16.75,precio
0.575,5.75,precio
0.16,16.00,precio
0.2150,21.50,precio
3.1850,USD per1 EUR 318.50,precio
2.9475,USD per1 EUR 294.75,precio
0.0575,USD per1 GBP (5.75),precio
192.75,USD per1 EUR 192.75,precio
183.50,USD per1 EUR 183.50,precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1675,USD per1 EUR 16.75,precio
0.575,5.75,precio
0.16,16.00,precio
0.2150,21.50,precio
3.1850,USD per1 EUR 318.50,precio
2.9475,USD per1 EUR 294.75,precio
0.0575,USD per1 GBP (5.75),precio
192.75,USD per1 EUR 192.75,precio
183.50,USD per1 EUR 183.50,precio
0.88,USD per1 EUR 88.00,precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1675,USD per1 EUR 16.75,precio
0.575,5.75,precio
0.16,16.00,precio
0.2150,21.50,precio
3.1850,USD per1 EUR 318.50,precio
2.9475,USD per1 EUR 294.75,precio
0.0575,USD per1 GBP (5.75),precio
192.75,USD per1 EUR 192.75,precio
183.50,USD per1 EUR 183.50,precio
0.88,USD per1 EUR 88.00,precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1675,USD per1 EUR 16.75,precio
0.575,5.75,precio
0.16,16.00,precio
0.2150,21.50,precio
3.1850,USD per1 EUR 318.50,precio
2.9475,USD per1 EUR 294.75,precio
0.0575,USD per1 GBP (5.75),precio
192.75,USD per1 EUR 192.75,precio
183.50,USD per1 EUR 183.50,precio
0.88,USD per1 EUR 88.00,precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1675,USD per1 EUR 16.75,precio
0.575,5.75,precio
0.16,16.00,precio
0.2150,21.50,precio
3.1850,USD per1 EUR 318.50,precio
2.9475,USD per1 EUR 294.75,precio
0.0575,USD per1 GBP (5.75),precio
192.75,USD per1 EUR 192.75,precio
183.50,USD per1 EUR 183.50,precio
0.88,USD per1 EUR 88.00,precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1675,USD per1 EUR 16.75,precio
0.575,5.75,precio
0.16,16.00,precio
0.2150,21.50,precio
3.1850,USD per1 EUR 318.50,precio
2.9475,USD per1 EUR 294.75,precio
0.0575,USD per1 GBP (5.75),precio
192.75,USD per1 EUR 192.75,precio
183.50,USD per1 EUR 183.50,precio
0.88,USD per1 EUR 88.00,precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1675,USD per1 EUR 16.75,precio
0.575,5.75,precio
0.16,16.00,precio
0.2150,21.50,precio
3.1850,USD per1 EUR 318.50,precio
2.9475,USD per1 EUR 294.75,precio
0.0575,USD per1 GBP (5.75),precio
192.75,USD per1 EUR 192.75,precio
183.50,USD per1 EUR 183.50,precio
0.88,USD per1 EUR 88.00,precio
0.165,16.5 USD,precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1675,USD per1 EUR 16.75,precio
0.575,5.75,precio
0.16,16.00,precio
0.2150,21.50,precio
3.1850,USD per1 EUR 318.50,precio
2.9475,USD per1 EUR 294.75,precio
0.0575,USD per1 GBP (5.75),precio
192.75,USD per1 EUR 192.75,precio
183.50,USD per1 EUR 183.50,precio
0.88,USD per1 EUR 88.00,precio
0.165,16.5 USD,precio
0.6075,USD per1 EUR (60.75),precio
0.6075,USD per1 EUR (60.75),precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1675,USD per1 EUR 16.75,precio
0.575,5.75,precio
0.16,16.00,precio
0.2150,21.50,precio
3.1850,USD per1 EUR 318.50,precio
2.9475,USD per1 EUR 294.75,precio
0.0575,USD per1 GBP (5.75),precio
192.75,USD per1 EUR 192.75,precio
183.50,USD per1 EUR 183.50,precio
0.88,USD per1 EUR 88.00,precio
0.165,16.5 USD,precio
0.6075,USD per1 EUR (60.75),precio
0.6075,USD per1 EUR (60.75),precio
0.2675,26.75,precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1675,USD per1 EUR 16.75,precio
0.575,5.75,precio
0.16,16.00,precio
0.2150,21.50,precio
3.1850,USD per1 EUR 318.50,precio
2.9475,USD per1 EUR 294.75,precio
0.0575,USD per1 GBP (5.75),precio
192.75,USD per1 EUR 192.75,precio
183.50,USD per1 EUR 183.50,precio
0.88,USD per1 EUR 88.00,precio
0.165,16.5 USD,precio
0.6075,USD per1 EUR (60.75),precio
0.6075,USD per1 EUR (60.75),precio
0.2675,26.75,precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1675,USD per1 EUR 16.75,precio
0.575,5.75,precio
0.16,16.00,precio
0.2150,21.50,precio
3.1850,USD per1 EUR 318.50,precio
2.9475,USD per1 EUR 294.75,precio
0.0575,USD per1 GBP (5.75),precio
192.75,USD per1 EUR 192.75,precio
183.50,USD per1 EUR 183.50,precio
0.88,USD per1 EUR 88.00,precio
0.165,16.5 USD,precio
0.6075,USD per1 EUR (60.75),precio
0.6075,USD per1 EUR (60.75),precio
0.2675,26.75,precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1675,USD per1 EUR 16.75,precio
0.575,5.75,precio
0.16,16.00,precio
0.2150,21.50,precio
3.1850,USD per1 EUR 318.50,precio
2.9475,USD per1 EUR 294.75,precio
0.0575,USD per1 GBP (5.75),precio
192.75,USD per1 EUR 192.75,precio
183.50,USD per1 EUR 183.50,precio
0.88,USD per1 EUR 88.00,precio
0.165,16.5 USD,precio
0.6075,USD per1 EUR (60.75),precio
0.6075,USD per1 EUR (60.75),precio
0.2675,26.75,precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1675,USD per1 EUR 16.75,precio
0.575,5.75,precio
0.16,16.00,precio
0.2150,21.50,precio
3.1850,USD per1 EUR 318.50,precio
2.9475,USD per1 EUR 294.75,precio
0.0575,USD per1 GBP (5.75),precio
192.75,USD per1 EUR 192.75,precio
183.50,USD per1 EUR 183.50,precio
0.88,USD per1 EUR 88.00,precio
0.165,16.5 USD,precio
0.6075,USD per1 EUR (60.75),precio
0.6075,USD per1 EUR (60.75),precio
0.2675,26.75,precio
0.1425,14.25 USD points per EUR,precio
0.29,0.29%,precio
0.1675,USD per1 EUR 16.75,precio
0.575,5.75,precio
0.16,16.00,precio
0.2150,21.50,precio
